,LAT,LON,Cuenta
744,6.1724861,-75.582977,4
360,6.165677,-75.590828,4
356,6.1656156,-75.590771,4
352,6.1655851,-75.59159,4
95,6.1588755,-75.581663,4
449,6.1672223,-75.585113,4
834,6.1741738,-75.585258,4
456,6.1673783,-75.591151,4
350,6.1655293,-75.582526,4
837,6.1743455,-75.578327,4
348,6.165496,-75.588357,4
842,6.1743915,-75.582973,4
393,6.1662148,-75.602406,4
849,6.1746516,-75.578351,4
464,6.16756,-75.585643,4
682,6.17152,-75.592589,4
41,6.1562072,-75.601993,4
338,6.1652821,-75.588112,4
790,6.1733257,-75.591117,4
337,6.165271,-75.588878,4
857,6.1748333,-75.583064,4
334,6.1651984,-75.582007,4
715,6.1720027,-75.592646,4
376,6.1659528,-75.588736,4
891,6.1755001,-75.58094,4
964,6.1783342,-75.584449,4
969,6.178867,-75.585205,4
627,6.170512,-75.579985,4
568,6.169474,-75.590584,4
629,6.170525,-75.588953,4
566,6.1694657,-75.583858,4
560,6.1693168,-75.589299,4
213,6.1623641,-75.592592,4
973,6.1791499,-75.578345,4
957,6.1779181,-75.58649,4
637,6.1706872,-75.583838,4
135,6.160234,-75.58995,4
122,6.15984,-75.60285,4
72,6.1579068,-75.580714,4
74,6.1580029,-75.584403,4
206,6.1620725,-75.593168,4
981,6.1795798,-75.580396,4
243,6.1632622,-75.59842,4
994,6.1804425,-75.587813,4
600,6.1700822,-75.592914,4
66,6.1577213,-75.593923,4
171,6.161215,-75.587769,4
587,6.1697812,-75.594986,4
159,6.1608239,-75.584519,4
180,6.1613924,-75.580707,4
583,6.1696593,-75.591546,4
191,6.1616899,-75.583404,4
612,6.170272,-75.5945,4
186,6.1615842,-75.583475,4
189,6.161655,-75.583379,4
989,6.1799235,-75.586256,4
987,6.1798651,-75.583365,4
190,6.1616702,-75.59235,4
237,6.163086,-75.594368,4
227,6.1628155,-75.595438,4
415,6.1666165,-75.587103,4
134,6.1602233,-75.592823,4
670,6.1713265,-75.565057,4
912,6.1762244,-75.579602,4
286,6.1642632,-75.5963,4
523,6.168593,-75.593047,4
919,6.1765033,-75.585207,4
662,6.1711613,-75.593047,4
288,6.1643135,-75.593769,4
673,6.1713423,-75.593361,4
929,6.1768628,-75.5808,4
151,6.160578,-75.598194,4
655,6.1710293,-75.591798,4
904,6.1759323,-75.588134,4
536,6.1688408,-75.57235,4
249,6.1633942,-75.58128,4
646,6.170881,-75.5766,4
894,6.1756392,-75.589918,4
299,6.1645715,-75.588971,4
297,6.1645284,-75.590451,4
668,6.171303,-75.577664,4
76,6.1581729,-75.595822,4
386,6.166142,-75.594404,3
800,6.17359,-75.583413,3
21,6.1539386,-75.586221,3
289,6.1643295,-75.58916,3
43,6.1564045,-75.583044,3
18,6.1538145,-75.575825,3
16,6.1535034,-75.580641,3
287,6.1643062,-75.589313,3
778,6.1730273,-75.59156,3
17,6.1535337,-75.57868,3
996,6.180703,-75.579967,3
864,6.1749511,-75.586039,3
39,6.1561096,-75.583679,3
158,6.1608181,-75.584612,3
856,6.1747901,-75.58703,3
336,6.1652628,-75.588962,3
326,6.1649887,-75.590095,3
231,6.162919,-75.581515,3
152,6.1605912,-75.580409,3
870,6.1750889,-75.561035,3
12,6.1531314,-75.598494,3
320,6.1648995,-75.597072,3
988,6.179896,-75.586397,3
319,6.1648843,-75.58862,3
927,6.1768118,-75.586177,3
36,6.1558737,-75.600783,3
275,6.1640748,-75.581436,3
196,6.1618391,-75.574106,3
830,6.174148,-75.590931,3
245,6.1632863,-75.592604,3
195,6.161815,-75.593562,3
1019,6.1824797,-75.583295,3
81,6.1583566,-75.59545,3
589,6.1698436,-75.577619,3
478,6.1677487,-75.578754,3
479,6.1678098,-75.560984,3
50,6.1570348,-75.593452,3
487,6.1679815,-75.581444,3
470,6.1676004,-75.58416,3
720,6.1720726,-75.579958,3
528,6.1686845,-75.56995,3
610,6.170236,-75.589966,3
696,6.1717094,-75.577479,3
564,6.1694211,-75.58932,3
525,6.16861,-75.592935,3
465,6.167574,-75.59644,3
693,6.1716473,-75.592597,3
666,6.1712774,-75.58475,3
694,6.1716975,-75.584944,3
80,6.1582971,-75.581665,3
47,6.1567508,-75.580521,3
53,6.1572926,-75.581545,3
643,6.1708385,-75.581878,3
61,6.1575316,-75.583313,3
450,6.1672401,-75.564674,3
678,6.171449,-75.578843,3
771,6.1728881,-75.588708,3
459,6.1674184,-75.573754,3
257,6.1637284,-75.594295,2
532,6.168785,-75.591165,2
541,6.1689294,-75.580688,2
253,6.1635529,-75.58164,2
951,6.1776526,-75.58669,2
252,6.1635161,-75.583068,2
75,6.158113,-75.585215,2
645,6.1708626,-75.600599,2
648,6.1708982,-75.58463,2
120,6.1598173,-75.581776,2
247,6.1633445,-75.56863,2
949,6.1775398,-75.580819,2
240,6.1631864,-75.582708,2
33,6.1555649,-75.602648,2
545,6.1690221,-75.581921,2
644,6.1708464,-75.592725,2
936,6.1770089,-75.585096,2
261,6.1638065,-75.588918,2
934,6.1769319,-75.588499,2
34,6.1556638,-75.600525,2
290,6.1643402,-75.585687,2
906,6.1759695,-75.58353,2
907,6.1760637,-75.589511,2
674,6.1713672,-75.58342,2
909,6.1761823,-75.582665,2
1050,6.1854145,-75.581186,2
911,6.1762204,-75.580618,2
671,6.171327,-75.58331,2
913,6.1762291,-75.58277,2
521,6.1685696,-75.584266,2
283,6.164231,-75.581922,2
118,6.1596202,-75.594057,2
524,6.1685973,-75.579373,2
276,6.1640771,-75.591582,2
58,6.1574444,-75.59264,2
79,6.15828,-75.580836,2
1030,6.1830504,-75.580976,2
926,6.1768079,-75.588525,2
530,6.1687214,-75.596842,2
531,6.1687813,-75.59114,2
133,6.1602031,-75.58134,2
931,6.1769004,-75.583562,2
656,6.1710536,-75.591879,2
234,6.1630257,-75.581595,2
958,6.1780321,-75.582317,2
3,6.1491328,-75.575932,2
638,6.1707243,-75.592737,2
614,6.1703002,-75.590115,2
188,6.1616349,-75.583387,2
64,6.1576233,-75.579302,2
25,6.1546917,-75.584355,2
185,6.1615642,-75.59381,2
