,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
27355,2019-03-01,4,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'MOTO')",La Concordia,06. LA CONCORDIA
27356,2019-03-01,4,Bucaramanga,1,,0,,10,"('MOTO',)",Puerta del Sol,12. CABECERA DEL LLANO
27357,2019-03-01,4,Bucaramanga,0,,0,,8,"('AUTOMOVIL',)",Cabecera del Llano,12. CABECERA DEL LLANO
27358,2019-03-01,4,Bucaramanga,1,,0,,12,"('AUTOMOVIL', 'MOTO')",Comuneros,03. SAN FRANCISCO
27359,2019-03-01,4,Bucaramanga,1,,0,,19,"('AUTOMOVIL', 'MOTO')",Santander,04. OCCIDENTAL
27360,2019-03-01,4,Bucaramanga,0,,0,,15,"('CAMIONETA', 'VOLQUETA')",Alfonso López,05. GARCIA ROVIRA
27361,2019-03-01,4,Bucaramanga,1,,0,,21,"('AUTOMOVIL', 'MOTO')",ZONA INDUSTRIAL(NO BARRIO),04. OCCIDENTAL
27362,2019-03-01,4,Bucaramanga,0,,0,,23,"('AUTOMOVIL', 'CAMIONETA')",Puerta del Sol,12. CABECERA DEL LLANO
27363,2019-04-01,5,Bucaramanga,1,,0,,10,"('AUTOMOVIL', 'MOTO')",Estoraques I y II,01. NORTE
27364,2019-04-01,5,Bucaramanga,1,,0,,9,"('AUTOMOVIL', 'MOTO')",Provenza,10. PROVENZA
27365,2019-04-01,5,Bucaramanga,0,,0,,11,"('AUTOMOVIL',)",Alarcón,03. SAN FRANCISCO
27366,2019-04-01,5,Bucaramanga,0,,0,,12,"('AUTOMOVIL', 'MOTO')",Comuneros,03. SAN FRANCISCO
27367,2019-04-01,5,Bucaramanga,1,,0,,14,"('MOTO',)",Mutis,01. NORTE
27368,2019-04-01,5,Bucaramanga,0,,0,,19,"('AUTOMOVIL', 'CAMPAERO')",La Ceiba,06. LA CONCORDIA
27369,2019-04-01,5,Bucaramanga,1,,0,,20,"('MOTO',)",Campo Hermoso,05. GARCIA ROVIRA
27370,2019-04-01,5,Bucaramanga,0,,0,,20,"('CAMIONETA', 'BUS')",San Luis,10. PROVENZA
27371,2019-05-01,6,Bucaramanga,1,,0,,3,"('MICRO', 'MOTO')",Villa Mercedes,02. NORORIENTAL
27372,2019-05-01,6,Bucaramanga,1,,0,,8,"('BICICLETA',)",Miraflores,01. NORTE
27373,2019-05-01,6,Bucaramanga,1,,0,,10,"('AUTOMOVIL', 'MOTO')",Centro,01. NORTE
27374,2019-05-01,6,Bucaramanga,1,,0,,12,"('AUTOMOVIL', 'MOTO')",La Estrella,05. GARCIA ROVIRA
27375,2019-05-01,6,Bucaramanga,0,,1,,17,"('MOTO', 'OTRO')",Kennedy,01. NORTE
27376,2019-05-01,6,Bucaramanga,0,,0,,22,"('AUTOMOVIL', 'CAMPAERO')",Cabecera del Llano,12. CABECERA DEL LLANO
27377,2019-06-01,7,Bucaramanga,1,,0,,7,"('AUTOMOVIL', 'CAMPAERO', 'MOTO')",ZONA INDUSTRIAL(NO BARRIO),04. OCCIDENTAL
27378,2019-06-01,7,Bucaramanga,0,,0,,7,"('CAMPAERO',)",ZONA INDUSTRIAL(NO BARRIO),04. OCCIDENTAL
27379,2019-06-01,7,Bucaramanga,1,,0,,11,"('AUTOMOVIL', 'MOTO')",El Tejar,16. LAGOS DEL CACIQUE
27380,2019-06-01,7,Bucaramanga,1,,0,,13,"('AUTOMOVIL', 'MOTO')",Alarcón,03. SAN FRANCISCO
27381,2019-06-01,7,Bucaramanga,0,,0,,15,"('AUTOMOVIL', 'CAMIONETA')",Centro,01. NORTE
27382,2019-06-01,7,Bucaramanga,0,,0,,16,"('AUTOMOVIL',)",Ciudadela Real de Minas,07. LA CIUDADELA
27383,2019-07-01,1,Bucaramanga,1,,0,,1,"('AUTOMOVIL', 'MOTO')",Centro,01. NORTE
27384,2019-07-01,1,Bucaramanga,0,,0,,4,"('AUTOMOVIL',)",Ciudad Venecia,01. NORTE
27385,2019-07-01,1,Bucaramanga,1,,0,,13,"('CAMIONETA', 'MOTO')",Mutualidad,03. SAN FRANCISCO
27386,2019-07-01,1,Bucaramanga,1,,0,,14,"('MOTO',)",Alarcón,03. SAN FRANCISCO
27387,2019-07-01,1,Bucaramanga,1,,0,,15,"('AUTOMOVIL',)",Antonia Santos Centro,13. ORIENTAL
27388,2019-07-01,1,Bucaramanga,1,,0,,15,"('AUTOMOVIL',)",San Alonso,13. ORIENTAL
27389,2019-07-01,1,Bucaramanga,0,,0,,15,"('AUTOMOVIL',)",Lagos del Cacique,16. LAGOS DEL CACIQUE
27390,2019-07-01,1,Bucaramanga,1,,0,,17,"('PEATON', 'MOTO')",Ricaurte,06. LA CONCORDIA
27391,2019-08-01,2,Bucaramanga,1,,0,,6,"('BUS', 'MOTO')",Centro,01. NORTE
27392,2019-08-01,2,Bucaramanga,0,,0,,7,"('AUTOMOVIL', 'BUS')",Transición I-V,02. NORORIENTAL
